id,symbol,timestamp,open,high,low,close,volume,source,created_at
2913,GBP/USD,2025-07-11 00:00:00,1.35531,1.35569,1.35344,1.35544,0,twelvedata,2025-08-26 16:43:42
2914,GBP/USD,2025-07-11 01:00:00,1.35562,1.35711,1.35562,1.35678,0,twelvedata,2025-08-26 16:43:42
2915,GBP/USD,2025-07-11 02:00:00,1.35672,1.35733,1.35617,1.35647,0,twelvedata,2025-08-26 16:43:42
2916,GBP/USD,2025-07-11 03:00:00,1.35637,1.35752,1.35621,1.35722,0,twelvedata,2025-08-26 16:43:42
2917,GBP/USD,2025-07-11 04:00:00,1.3572,1.35759,1.35709,1.35755,0,twelvedata,2025-08-26 16:43:42
2918,GBP/USD,2025-07-11 05:00:00,1.35752,1.35831,1.3574,1.35768,0,twelvedata,2025-08-26 16:43:42
2919,GBP/USD,2025-07-11 06:00:00,1.35764,1.35842,1.35763,1.35799,0,twelvedata,2025-08-26 16:43:42
2920,GBP/USD,2025-07-11 07:00:00,1.35772,1.35809,1.35634,1.3579,0,twelvedata,2025-08-26 16:43:42
2921,GBP/USD,2025-07-11 08:00:00,1.35788,1.35864,1.35788,1.35849,0,twelvedata,2025-08-26 16:43:42
2922,GBP/USD,2025-07-11 09:00:00,1.35846,1.35862,1.35785,1.35807,0,twelvedata,2025-08-26 16:43:42
2923,GBP/USD,2025-07-11 10:00:00,1.35801,1.35809,1.35476,1.3556,0,twelvedata,2025-08-26 16:43:42
2924,GBP/USD,2025-07-11 11:00:00,1.35545,1.35689,1.35501,1.35586,0,twelvedata,2025-08-26 16:43:42
2925,GBP/USD,2025-07-11 12:00:00,1.35602,1.35613,1.35545,1.35547,0,twelvedata,2025-08-26 16:43:42
2926,GBP/USD,2025-07-11 13:00:00,1.35544,1.35672,1.35544,1.35665,0,twelvedata,2025-08-26 16:43:42
2927,GBP/USD,2025-07-11 14:00:00,1.35658,1.35661,1.35501,1.35573,0,twelvedata,2025-08-26 16:43:42
2928,GBP/USD,2025-07-11 15:00:00,1.35569,1.35643,1.35555,1.35637,0,twelvedata,2025-08-26 16:43:42
2929,GBP/USD,2025-07-11 16:00:00,1.35516,1.35522,1.35331,1.35336,0,twelvedata,2025-08-26 16:43:42
2930,GBP/USD,2025-07-11 17:00:00,1.35378,1.35571,1.35369,1.35437,0,twelvedata,2025-08-26 16:43:42
